hypocentral_distance,is_shallow_crustal,magnitude,vs30,num_samples
350.8427988,1,6.2,593,10
186.0398943,1,6.2,369,10
229.4489589,1,6.2,342,10
123.0316251,1,6.2,393,10
144.7461802,1,6.2,463,10
281.9234418,1,6.2,371,10
168.8007694,1,6.2,425,10
109.8336321,1,6.2,407,10
126.5577398,1,6.2,385,10
142.1487187,1,6.2,705,10
342.0959808,1,6.2,399,10
141.8394534,1,6.2,542,10
343.1888081,1,6.2,320,10
93.5857667,1,6.2,438,10
210.2509485,1,6.2,251,10
202.7205242,1,6.2,487,10
179.5147347,1,6.2,663,10
86.08742622,1,6.2,369,10
305.162473,1,6.2,203,10
157.8287018,1,6.2,723,10
195.339979,1,6.2,398,10
289.3003499,1,6.2,328,10
276.5723316,1,6.2,237,10
359.6455548,1,6.2,677,10
162.867028,1,6.2,528,10
142.1792079,1,6.2,367,10
161.5921604,1,6.2,653,10
194.1271155,1,6.2,350,10
291.4176441,1,6.2,637,10
221.7952542,1,6.2,158,10
164.6062587,1,6.2,300,10
171.1770991,1,6.2,382,10
145.7836954,1,6.2,904,10
285.4355368,1,6.2,367,10
267.0968321,1,6.2,1909,10
66.51241205,1,6.2,570,10
239.7382694,1,6.2,610,10
130.7373354,1,6.2,513,10
197.4067844,1,6.2,300,10
84.84243603,1,6.2,609,10
84.13014258,1,6.2,628,10
203.7057771,1,6.2,692,10
54.81415225,1,6.2,465,10
156.2276189,1,6.2,1110,10
81.56538273,1,6.2,511,10
114.9708004,1,6.2,636,10
211.7562639,1,6.2,153,10
401.0957257,1,6.2,316,10
400.4560931,1,6.2,466,10
135.4233902,1,6.2,400,10
517.539757,1,6.2,281,10
269.6927182,1,6.2,1010,10
390.7227333,1,6.2,486,10
26.13482192,1,6.2,383,10
190.3968326,1,6.2,246,10
263.2122051,1,6.2,1069,10
187.0155069,1,6.2,579,10
173.7279328,1,6.2,364,10
82.35392785,1,6.2,831,10
224.2292841,1,6.2,332,10
275.7707935,1,6.2,286,10
60.60148645,1,6.2,461,10
404.359255,1,6.2,289,10
216.7745716,1,6.2,392,10
60.77968205,1,6.2,339,10
263.1524777,1,6.2,544,10
324.868013,1,6.2,412,10
222.9797896,1,6.2,163,10
179.3833957,1,6.2,667,10
410.6807345,1,6.2,482,10
358.5522022,1,6.2,288,10
199.4389687,1,6.2,677,10
